f_name,l_name,dob
Daniel,Brands,19870717
Andrey,Golubev,19870722
Anton,Zaitsev,19870722
Christian,Guevara,19870722
Huai En,Chang,19870723
Kyle,Brassington,19870723
Marcus,Weiglhofer,19870725
Lukas,Koncilia,19870727
Vishnu,Vardhan,19870727
Patrick,Taubert,19870728
Vivek,Shokeen,19870731
Peng,Gao,19870802
Jean,Zietsman,19870804
Jon,Wiegand,19870807
Syrym,Abdukhalikov,19870807
Martin,Vaisse,19870811
Vlademyros,Mavropoulos Stoliarenko,19870815
Daniel,Kumlin,19870816
Alexander,Blom,19870817
Igor,Sijsling,19870818
Michael,Shabaz,19870820
Mischa,Zverev,19870822
Dong Kyu,Lee,19870823
Mao Xin,Gong,19870824
Timothy,Neilly,19870824
Wan,Gao,19870824
Dimitar,Kutrovsky,19870827
Ivan,Djurdjevic,19870828
Chu Huan,Yi,19870831
David,Klier,19870831
Ignacio,Coll Riudavets,19870905
Elbert,Sie,19870906
Akmal,Sharipov,19870907
Illya,Marchenko,19870908
Alexander,Bury,19870914
Antal,Van Der Duim,19870916
Franko,Skugor,19870920
Serguei,Tarasevitch,19870921
Lucas,Jovita,19870922
Gerald,Kamitz,19870926
Denis,Zivkovic,19870930
Andrew,Coelho,19871002
Kriegler,Brink,19871005
Sam,Querrey,19871007
Roman,Kislyanskiy,19871009
Carl,Bergman,19871010
Takuto,Niki,19871012
Matteo,Fago,19871014
Jesse,Levine,19871015
Sergey,Betov,19871015
Michael,Venus,19871016
Saketh,Myneni,19871019
Sam,Groth,19871019
Matias,Castro,19871021
Ruslan,Chomaev,19871023
Federico,Cataldi,19871026
Hyun Joon,Kim,19871027
Sebastien,Rocher,19871028
Milan,Pokrajac,19871031
Cory,Parr,19871102
Laurent,Malouli,19871102
Lukas,Lacko,19871103
Vignesh,Peranamallur,19871106
Marek,Semjan,19871107
Ramiro,Alexis Campos,19871109
Robert,Belak,19871111
Ivan,Salec,19871117
Tim,Puetz,19871119
Alex,Clayton,19871123
Luis Henrique,Grangeiro,19871123
Michael,Look,19871124
Matthew,Ebden,19871126
Chris,Eaton,19871127
Santiago,Giraldo,19871127
Michal,Pazicky,19871213
Borja,Malo,19871215
Jan,Marek,19871217
Seno,Hartono Suwandi,19871218
Alexandre,Lacroix,19871219
Kento,Takeuchi,19871219
Aldin,Setkic,19871221
Filippo,Leonardi,19871222
Mikhail,Kukushkin,19871226
Andrea,Arnaboldi,19871227
Thomaz,Bellucci,19871230
Tim,Smyczek,19871230
Grzegorz,Panfil,19880101
Alexander,Stamchev,19880102
Nicolas,Santos,19880105
Spencer,Feldman,19880106
Hans,Podlipnik Castillo,19880109
Jean Yves,Aubone,19880110
Sanam,Singh,19880111
Zoran,Golubovic,19880113
Ruben,Bemelmans,19880114
Roel,Oostdam,19880115
Victor,Kozin,19880115
Albert,Ramos,19880117
Javier,Ramos,19880119
Ivan,Sergeyev,19880120
Miloslav,Mecir Jr,19880120
Jean Michel,Durango,19880122
Marcus,Fugate,19880122
Sebastian,Bader,19880122
James,Lemke,19880125
Artem,Smirnov,19880202
Rafael,Saraiva,19880202
Kiryl,Harbatsiuk,19880204
Laurent,Rochette,19880205
Thomas,Shubert,19880208
Marcos,Conocente,19880209
Peter,Torebko,19880210
Yoann,Re,19880210
Christopher,Racz,19880212
Paris,Gemouchidis,19880212
Evgeny,Korolev,19880214
Julien,Dubail,19880214
Valery,Rudnev,19880216
Alexandre,Sidorenko,19880218
Antonio,Veic,19880218
Edward,Corrie,19880221
Blazej,Koniusz,19880222
Goncalo,Falcao,19880222
Pavel,Katliarov,19880222
Robin,Roshardt,19880222
Eduardo,Piragine,19880224
Seong Hyeon,Im,19880226
Albert,Brugues Davi,19880227
Lukas,Weinhandl,19880227
Marc,Sieber,19880228
Federico,Cavallero,19880304
Ivan,Endara,19880304
Marc,Meigel,19880304
Patrik,Rosenholm,19880305
Dejan,Katic,19880307
Pedro,Graber Anguita,19880307
Dusan,Lojda,19880308
Peter,Lucassen,19880309
Dorian,Descloix,19880314
Holden,Seguso,19880314
Andres,Molteni,19880315
Ivan,Anikanov,19880315
Karlis,Lejnieks,19880316
Zachary,Van Min,19880316
Carlos,Calderon Rodriguez,19880319
Edesio,Semencato,19880321
Enrico,Alonso De Pedro,19880323
Fariz,Mohammed,19880325
Guillermo,Olaso,19880325
Sang Oh,Oh,19880325
Vladimir,Uzhylovsky,19880325
Tim,Goransson,19880326
Jurgen,Zopp,19880329
Lubomir,Majsajdr,19880401
Filip,Zeman,19880403
Marco,Bella,19880403
Andrei,Plotniy,19880407
Pere,Riba,19880407
Roberto,Bautista Agut,19880414
Alejandro,Moreno Figueroa,19880418
Joshua,Zavala,19880423
Diego,Matos,19880427
Arata,Onozawa,19880428
Burnham,Arlidge,19880428
Andrey,Boldarev,19880507
Jaak,Poldma,19880516
Guillem,Collado Castells,19880518
Tatsuma,Ito,19880518
Hsin Han,Lee,19880519
Reda,El Amrani,19880519
Pablo Martin,Adalia,19880520
Javier,Garrapiz Borderias,19880524
Marcin,Gawron,19880525
Yannick,Thomet,19880525
Joao,Souza,19880527
Pedro,Sousa,19880527
Federico,Zeballos,19880530
Patrick,Eichenberger,19880602
Artur,Chernov,19880604
Vaja,Uzakov,19880604
Guillermo,Duran,19880606
Yann,Marti,19880607
Paul,Mihai Puscasu,19880609
Gleb,Sakharov,19880610
Steven,Goh,19880613
Alborz,Akhavan Roufigar,19880614
Peter,Polansky,19880615
Juan Manuel,Romanazzi,19880616
Bart,Govaerts,19880617
Jean,Andersen,19880617
Gonzalo,Tur,19880623
Vladyslav,Klymenko,19880624
Miliaan,Niesten,19880627
Adrian,Mannarino,19880629
Franck,Pepe,19880701
Kristijan,Mesaros,19880702
Matthias,Dorfler,19880703
Aditya,Hari Sasongko,19880704
Alexis,Musialek,19880704
Adrian,Sikora,19880705
Daniel,Dutra Da Silva,19880705
Miljan,Zekic,19880712
Antso,Rakotondramanga,19880717
Agustin,Boje Ordonez,19880719
Pietro,Fanucci,19880721
Ahmed,El Tabakh,19880723
Guy,Michelevitz,19880723
Daniel,Danilovic,19880725
John,Peers,19880725
Pavel,Chekhov,19880727
Joshua,Crowe,19880728
Pedro,Feitosa,19880729
Robert,Varga,19880730
Niccolo,Mugelli,19880731
Nick,Lindahl,19880731
Jonathan,Milsztajn,19880801
Francisco,Franco,19880804
Jakub,Piter,19880805
Chen,Ye,19880806
Stephan,Fransen,19880808
Roberto Eduardo,Ramirez,19880810
Marc,Abdulnour,19880811
Yu,Chang,19880814
Ramon,Guedez,19880819
Alexandru Raul,Lazar,19880820
Frank,Wintermantel,19880820
Tejesvi,Rao,19880820
Andrei,Daescu,19880828
Ernests,Gulbis,19880830
Marko,Mijacevic,19880831
Zach,Itzstein,19880902
Christian,Ramos,19880906
Alain,Ntamag,19880910
Andrei,Levine,19880911
Marco,Dierckx,19880912
Gabriel,Pimentel,19880917
Yuichi,Sugita,19880918
Thiemo,De Bakker,19880919
Orlando,Superlano,19880920
Miguel,Cicenia,19880921
Jun Chao,Xu,19880922
Mauricio,Doria Medina,19880922
Jakub,Lustyk,19880923
Juan Martin,del Potro,19880923
Mehdi,Bouras,19880924
Nicola,Ghedin,19880926
Attila,Balazs,19880927
Marin,Cilic,19880928
Nathaniel,Schnugg,19881005
Philip,Bester,19881006
Alexander,Somogyi,19881011
Luka,Belic,19881014
Andre,Pinheiro,19881019
Jeevan,Nedunchezhiyan,19881020
Marco,Sobarzo Vignolo,19881025
Mark Alexander,Kepler,19881029
Pirmin,Haenle,19881031
Vitali,Reshetnikov,19881104
Alexandr,Dolgopolov,19881107
Daniel,Glancy,19881113
Marcos,Remondegui,19881121
Vasco,Pascoal,19881121
Shinta,Fujii,19881122
Antonio,Sancic,19881123
Raphael,Lustenberger,19881123
Fabiano,De Paula,19881128
Michal,Schmid,19881128
Viju,George Jr,19881129
Emiliano,Massa,19881205
Pedro,Zerbini,19881209
Mehdi,Jdi,19881213
Keith Patrick,Crowley,19881215
Takahiro,Ittogi,19881217
Matthew,Hogan,19881220
Nikola,Mektic,19881224
Bassam,Beidas,19881226
Nikola,Bubnic,19881227
David,Rice,19890101
Joop,Bos,19890101
Andrei,Karatchenia,19890102
Rafael,Garcia,19890102
Roberto,Maytin,19890102
Fernando,Romboli,19890104
Joel,Lindner,19890105
Isaac,Frost,19890106
Emilio,Rodriguez,19890110
Frederic,De Fays,19890114
Kevin,Botti,19890114
Darren,Walsh,19890116
Marcelo,Demoliner,19890118
Maxime,Teixeira,19890118
Gonzalo,Escobar,19890120
Fumiaki,Kita,19890121
Mauricio,Echazu,19890102
Patricio,Heras,19890121
Joseph,Cadogan,19890123
Marc,Garcia Roman,19890123
Daniel,Stahl,19890124
Alexis,Klegou,19890125
Johnny,Hamui,19890126
Leonel,Videla,19890127
Eric,Quigley,19890130
Gerard,Granollers,19890130
Tuna,Altuna,19890130
Bojan,Temunovic,19890131
Greg,Jones,19890131
Phillip,Regnat,19890201
Guillermo,Rivera Aranguiz,19890202
Kingsley,Enosoregbe,19890203
Tyler,Hochwalt,19890205
Yi Fan,Yang,19890205
Alejandro,Gonzalez,19890207
Ricardo,Urzua Rivera,19890210
Dennis,Lajola,19890212
Rupesh,Roy,19890216
Lorenzo,Frigerio,19890217
Reid,Carleton,19890227
Bruno,Tiberti,19890301
Dzmitry,Zhyrmont,19890301
Sergio,Gutierrez Ferrol,19890305
Ante,Bilic,19890307
Ante,Pavic,19890307
Rodrigo,Perez,19890307
Marcelo,Palacios Siegenthale,19890310
Valentin,Dimov,19890312
Rodrigo,Gomez Saigos,19890317
Jan,Blecha,19890318
Vignesh,Veerabadran,19890320
Agustin,Picco,19890322
Marcel,Thiemann,19890323
Joao,Sousa,19890330
Jiri,Kosler,19890404
Jaime,Pulgar Garcia,19890405
Javier,Pulgar Garcia,19890405
Andrew,Fitzpatrick,19890406
Javier,Lopez Parra,19890407
Nicolas,Reissig,19890407
Thomas,Schoorel,19890408
Danjil,Braun,19890411
Eduardo,Peralta Tello,19890415
Joshua,Jones,19890416
Mathias,Feitsch,19890416
Wesley,Koolhof,19890417
Igor,Tubic,19890418
Germain,Gigounon,19890420
Marlon,Oliveira,19890421
Maniel,Bains,19890423
Stefano,Valenti,19890428
Thibault,Venturino,19890429
Raul,Isaias Rosas Zarur,19890504
Petru,Alexandru Luncanu,19890507
Benoit,Paire,19890508
George,Coupland,19890512
Luis David,Martinez,19890512
Sho,Katayama,19890512
Nicolas,Meister,19890515
Damiano,Di Ienno,19890518
Maximiliano,Estevez,19890518
Yan,Bai,19890521
Charles,Costa,19890524
Thomas,Fabbiano,19890526
Deni,Zmak,19890527
Dimitris,Kleftakos,19890527
Stepan,Khotulev,19890528
Sean,Thornley,19890531
Junn,Mitsuhashi,19890601
Matthias,Wolf,19890602
Santiago,Maccio,19890602
Harri,Heliovaara,19890604
Ricardo,Siggia,19890605
Suresh,Krishna,19890607
Danila,Arsenov,19890609
Pascal,Brunner,19890611
Baptiste,Maitre,19890613
Mateusz,Szmigiel,19890613
Antonio,Comporto,19890614
John,Millman,19890614
Jun,Ito,19890614
Jason,Jung,19890615
Guillermo,Alcorta Olarra,19890616
Maxime,Quinqueneau,19890616
Ashwin,Vijayragavan,19890626
Maxime,Forcin,19890626
Leo,Rosenberg,19890628
Yi Feng,Li,19890628
Rifat,Biktyakov,19890702
Daniel Alejandro,Lopez Cassaccia,19890703
Riccardo,Maiga,19890709
Roy,Kalmanovich,19890705
Arvind,Vishnu Bestha,19890706
Issam,Al Tawil,19890710
Martin,Klizan,19890711
Matheson,Klein,19890712
Marc,Reyes,19890714
Peter,Gojowczyk,19890715
Davy,Sum,19890717
Jeff,Dadamo,19890717
Aljaz,Bedene,19890718
Andraz,Bedene,19890718
Thales,Turini,19890718
Jarryd,Maher,19890720
Dennis,Bloemke,19890723
Donald,Young,19890723
Janez,Semrajc,19890724
Dylan,Sessagesimi,19890727
Lennert,Van Der Linden,19890729
Alec,Witmeur,19890730
Vasil,Mladenov,19890730
Hiromasa,Oku,19890731
Roy,Bruggeling,19890801
Stephan,Hoiss,19890801
Ilija,Martinoski,19890803
Lukas,Jastraunig,19890803
Tomer,Hodorov,19890806
Tim,Hewitt,19890807
Adam,El Mihdawy,19890809
Andriej,Kapas,19890811
Stephane,Piro,19890812
Matteo,Trevisan,19890813
Peerakiat,Siriluethaiwattana,19890816
Masaki,Sasai,19890822
Michael,Mcclune,19890822
Yann,Minster,19890822
Roberto,Marcora,19890830
Elie,Rousset,19890905
Soren,Wedege,19890907
Abraham,Gonzalez Jimenez,19890910
Dragos,Cristian Mirtea,19890910
Gustavo,Junqueira De Andrade,19890912
Tal,Eros,19890916
Andrej,Martin,19890920
Matthieu,Roy,19890922
Maxime,Tabatruong,19890924
Kim,Moellers,19890925
Jae Won,Choi,19890929
Jonas,Koenig,19891004
Patricio,Alvarado,19891006
Evthimios,Karaliolios,19891010
Michal,Konecny,19891013
Joshua,Milton,19891014
Danilo,Ferraz,19891015
Ryan,Mayer,19891016
William,Klein,19891021
Michael,Linzer,19891102
Milos,Sekulic,19891104
Marcus,Daniell,19891109
Scott,Puodziunas,19891109
Radu,Albot,19891111
Ariel,Behar,19891112
Prajnesh,Gunneswaran,19891112
Roman,Jebavy,19891116
Ruan,Roelofse,19891118
Mattis,Wetzel,19891121
Markus,Eriksson,19891129
Inigo,Cervantes Huegun,19891130
Neal,Skupski,19891201
Arsenije,Zlatanovic,19891204
John Patrick,Smith,19890124
Sebastien,Vidal,19891209
Georgi,Rumenov Payakov,19891215
Artem,Pudovkin,19891217
Yannick,Ebbinghaus,19891217
Giacomo,Vianello,19891219
Dennis,Nevolo,19891222
Hsien Yin,Peng,19891222
Steve,Johnson,19891224
Mike,Urbanija,19891226
Thales,Levy,19891226
Francesco,Vilardo,19891228
Kei,Nishikori,19891229
Brydan,Klein,19891231
Vladimir,Karusevich,19900101
Sergio,Galdos,19900102
Matthew,Pierot,19900104
Andre,Stabile,19900108
David,Sodek,19900108
Matthew,Short,19900108
Francesc,Montanes Roca,19900109
David,Thurner,19900112
Charalampos,Kapogiannis,19900113
Christopher,Rungkat,19900114
Armando Javier,Boschetti,19900115
Ivo,Mijic,19900115
Jordi,Munoz Abreu,19900117
Andrew,Gregory,19900118
Jesse,Kiuru,19900120
Tim,Van Terheijden,19900120
Cesar,Ramirez,19900125
Nils,Langer,19900125
Vikram,Reddy B,19900126
Dae Soung,Oh,19900128
Sa,Chen,19900130
Alexandre,Folie,19900131
Marco,Trungelliti,19900131
Yan,Sabanin,19900131
Alejandro,Mendoza,19900202
Nian,Feng,19900206
Lucas,Abella,19900210
Vijayant,Malik,19900214
Jerome,Inzerillo,19900215
Max,Wennakoski,19900216
Krishananth,Balakrishnan,19900220
Xander,Spong,19900221
Facundo,Bagnis,19900227
Jose,Benitez,19900228
Andrew,Thomas,19900301
Jui Chen,Hung,19900301
Tadayuki,Longhi,19900304
Ilia,Starkov,19900306
Tomislav,Brkic,19900309
Adelchi,Virgili,19900310
De Long,Zhu,19900311
Anton,Manegin,19900312
Jose,Hernandez,19900313
Rafael,Camilo,19900313
Christopher,Diaz Figueroa,19900314
Jared,Easton,19900314
Akash,Wagh,19900317
N Sriram,Balaji,19900318
George,Von Massow,19900321
Nikolaus,Moser,19900321
Laslo,Urrutia Fuentes,19900322
Austin,Karosi,19900323
Cheong Eui,Kim,19900323
Vasile,Antonescu,19900324
Andrew,Carter,19900328
Neil,Pauffley,19900329
Claudio,Scatizzi,19900330
Alexander,Sarkissian,19900403
Bart,Brons,19900405
Jeremy,Jahn,19900405
Jordi,Samper Montana,19900423
Serafim,Grozev,19900405
Davide,Della Tommasina,19900407
Patrick,Davidson,19900409
Marin,Franjicevic,19900412
Nathan,Willis,19900412
Juan Sebastian,Vivanco,19900414
Francisco,Carbajal,19900418
Claudio,Fortuna,19900419
Daniel,Geib,19900419
Dane,Propoggia,19900424
Jan Lennard,Struff,19900425
Jaan Frederik,Brunken,19900426
Alexander,Ward,19900430
Carlos,Gomez Herrera,19900430
Henrique,Cunha,19900430
Juan Carlos,Spir,19900501
Andres,Kurdyla,19900502
Dmitry,Surchenko,19900502
Erik,Crepaldi,19900504
Joss,Espasandin,19900504
Matthew,Asciak,19900504
Mohamed,Amine Kerroum,19900505
Jhonnel,Figueroa,19900507
Evgeny,Donskoy,19900509
Lorenzo,Apostolico,19900510
Alex,Llompart,19900511
Bastian,Trinker,19900511
Manolis,Glezos,19900511
Lorenzo,Papasidero,19900512
Mikhail,Fufygin,19900513
Logan,Mackenzie,19900514
Dean,Obrien,19900515
Marious,Zelba,19900515
Mateo,Galdon,19900516
Guido,Pella,19900517
Anil,Yuksel,19900519
Yusuke,Watanuki,19900520
Ty,Trombetta,19900521
Daniel,Evans,19900523
Giacomo,Oradini,19900524
Mark,Bowtell,19900525
Gibril,Diarra,19900526
Guillaume,Rufin,19900526
Jonathan,Eysseric,19900527
Kelsey,Stevenson,19900529
Alessandro,Giannessi,19900530
Alexey,Golovachev,19900601
Kenny,Bun,19900601
Victor,Maynard,19900604
Ya Nan,Ma,19900606
Shahin,Khaledan,19900607
Brendan,Mckenzie,19900610
Jakhongir,Khaydarov,19900610
Gilad,Ben Zvi,19900612
Inigo,Santos Fernandez,19900613
Fabricio,Neis,19900615
Austin,Krajicek,19900616
Henri,Kontinen,19900619
Jean Marc,Werner,19900621
Ricardas,Berankis,19900621
Vasek,Pospisil,19900623
Cristian,Rodriguez,19900624
Kittipong,Wachiramanowong,19900625
Chuan,Jiang,19900628
Gerard,Gallego Bertran,19900629
Ignacio,Martire,19900629
Dusan,Lajovic,19900630
Tiago,Slonik,19900702
Ze,Zhang,19900704
Alexandar,Lazov,19900709
Tom,Kocevar Desman,19900710
Emilien,Firmin,19900711
Gerald,Melzer,19900713
Uladzimir,Ignatik,19900714
Matt,Reid,19900717
Ralph,Regus,19900718
Yannick,Vandenbulcke,19900718
Marc,Ferrigno,19900722
Dayne,Kelly,19900723
Jan,Satral,19900724
Dmitri,Perevoshchikov,19900731
Peter,Goldsteiner,19900731
Richard,Waite,19900731
Abhijeet,Tiwari,19900801
Cristobal,Saavedra Corvalan,19900801
Ilya,Lebedev,19900801
Francois Arthur,Vibert,19900803
Kishi,Watanabe,19900803
Mikhail,Balmashev,19900805
Mohsen,Hossein Zade,19900805
Gabriel Alejandro,Hidalgo,19900806
Georgi,Jordanov,19900807
Ilya,Belyaev,19900809
Tobias,Leipold,19900810
Andre,Dome,19900813
Jonas,Luetjen,19900813
Norbert,Gombos,19900813
Bradley,Klahn,19900820
Federico,Clara Figueroa,19900820
Kyle,Mcmorrow,19900820
Andreas,Mies,19900821
Juan Samuel,Arauzo Martinez,19900822
Jeremy,Corbiere,19900824
Peerakit,Siributwong,19900824
Min Kyu,Song,19900825
Jamie,Whiteford,19900830
Costin,Paval,19900901
Enrico,Fioravante,19900904
Alvaro,Raposo De Oliveira,19900905
Takanyi,Garanganga,19900906
Giorgio,Portaluri,19900912
Riccardo,Sinicropi,19900912
Rafael,Mazon Hernandez,19900915
Tomislav,Ternar,19900916
Antoine,Champagne,19900918
Dominik,Suc,19900919
Mohamed,Safwat,19900919
Viktor,Galovic,19900919
Jorge,Montero,19900921
Romain,Sichez,19900924
Steffen,Zornosa,19900924
Daniel,Cox,19900928
Michel,Dornbusch,19900930
Bastien,Favier,19901002
Blaz,Rola,19901005
Federico,Delbonis,19901005
David,De Goede,19901006
Alexander,Lobkov,19901007
Mark,Vervoort,19901007
Philip,Lang,19901007
I Ta,Chen,19901008
Cedrik Marcel,Stebe,19901009
Marcus,Willis,19901009
Daniel,Smethurst,19901013
Andoni,Vivanco Guzman,19901015
Yuki,Matsuo,19901015
Daniel,Nguyen,19901016
Hiroki,Moriya,19901016
Marcelo,Arevalo,19901017
Marius,Copil,19901017
Clifford,Enosoregbe,19901019
Otakar,Lucak,19901021
Alan,Bevan,19901022
Ilija,Vucic,19901027
Tomislav,Jotovski,19901027
Norimasa,Hayashi,19901029
Ivan,Arenas Gualda,19901031
Robert,Coman,19901102
Louis,Cant,19901108
Ankit,Sachdeva,19901110
Jerzy,Janowicz,19901113
Franjo,Raspudic,19901115
Karunuday,Singh,19901119
Gastao,Elias,19901124
Jarmere,Jenkins,19901125
Duncan,Mugabe,19901127
Carlos Eduardo,Severino,19901205
Marc,Rath,19901205
David,Goffin,19901207
Nikola,Cacic,19901207
Axel,Michon,19901216
Eduardo,Struvay,19901217
Navid,Johannigmann,19901220
Soong Jae,Cho,19901220
Alessandro,Petrone,19901223
Milos,Raonic,19901227
Tomas,Hrabec,19901228
Gustavo,Guerses,19901230
Francesco,Picco,19910101
Sergey,Strelkov,19910104
Manuel,Sanchez,19910105
Jake,Eames,19910108
Kevin,Griekspoor,19910110
Scott,Griekspoor,19910110
Alessandro,Bega,19910111
Alex,Theiler,19910112
Piotr,Gadomski,19910112
Sander,Gille,19910115
Borut,Puc,19910119
Marco,Bortolotti,19910121
Yury,Vaschenko,19910123
David,Oleary,19910126
Jose,Pereira,19910126
Malte,Stropp,19910129
Richard,Becker,19910129
Jesus,Bandres,19910130
Marco,Speronello,19910204
Lazare,Kukhalashvili,19910205
Nicolaas,Scholtz,19910205
Alastair,Barnes,19910207
Valentin,Florez,19910208
Daniel,Mcgrath,19910209
Dino,Marcan,19910212
Andre,Baran,19910214
Victor,Morales,19910214
Hugo,Nys,19910216
Jeroen,Benard,19910216
Tom,Jomby,19910218
Tzvetan,Mihov,19910218
Davide,Melchiorre,19910219
Radim,Urbanek,19910219
Stanislav,Vovk,19910219
Chandril,Sood,19910220
Constantin,Belot,19910220
Andrey,Kuznetsov,19910222
Vincenzo,Primerano,19910226
Rafal,Gozdur,19910303
Yannik,Reuter,19910306
Aaron,Leeder Chard,19910307
Edward Louies,Oueilhe,19910311
Nicolas,Pastor,19910312
Devin,Britton,19910317
Steven,Diez,19910317
Pierre Hugues,Herbert,19910318
Rhyne,Williams,19910322
Patrick,Grigoriu,19910325
Kyle,Stoker,19910326
Sergio,Magro Moreno,19910326
Kaza,Vinayak Sharma,19910328
Tsung Hua,Yang,19910329
Stanislav,Poplavskyy,19910402
Francesco,Garzelli,19910405
Lucas,Zweili,19910405
Santiago,Celia,19910405
Dae Hee,Lee,19910406
Yilun,Wang,19910407
Andres,Ceppo,19910408
Clement,Maas,19910408
Karim Mohamed,Maamoun,19910409
Vladzimir,Kruk,19910410
Romain,Monney,19910412
Vitaliy,Kachanovskiy,19910412
Roberto,Ortega Olmedo,19910430
Ivan,Kosec,19910415
Juan,Vazquez Valenzuela,19910416
Pedro,Bernardi,19910416
Alejo,Prado,19910417
Antonio,Garcia Sanchez,19910417
Sandro,Ehrat,19910418
Juan,Lizariturry,19910420
Henrik,Sillanpaa,19910421
Maik,Burlage,19910426
Chung Su,Chen,19910429
Johan,Backstrom,19910501
Alexandr,Kushakov,19910502
Josip,Mesin,19910502
Mark,Verryth,19910503
Ryusei,Makiguchi,19910503
Llaurentiu,Ady Gavrila,19910504
Alexandru,Catalin Marasin,19910506
Jacob,Johansson,19910506
Marko,Lenz,19910510
Nicolas,Alejandro De Gregorio,19910510
Artem,Ilyushin,19910511
Bruno,Abdel Nour,19910511
Igor,Bujdo,19910513
Marin,Draganja,19910513
Adam,Thornton Brown,19910515
Grigor,Dimitrov,19910516
Tobias,Simon,19910518
Eros,Siringo,19910521
Victor,Nunez,19910525
Andrei,Vasilevski,19910528
Enrique,Lopez Perez,19910603
Chase,Buchanan,19910604
Isade,Juneau,19910605
Juan Pablo,Ortiz,19910609
Tom,Schonenberg,19910615
Hiroyasu,Ehara,19910718
Jakob,Sude,19910618
Marc,Giner,19910618
Yong Kyu,Lim,19910618
Mauricio,Astorga,19910619
Egor,Kovalev,19910620
Gabriel,Dias,19910621
Hung Yuan,Hsu,19910621
Lorenzo,Cannella,19910622
Barkin,Yalcinkale,19910625
